id,AGE,GENDER,H2,C2,FHD2,FC2,H4,C4,FHD4,FC4,H6,C6,FHD6,FC6,H9,C9,FHD9,FC9,H10,C10,FHD10,FC10,H13,C13,FHD13,FC13,H16,C16,FHD16,FC16
270,27,1,2,2,4,3,5,4,4,4,2,4,2,4,1,1,1,1,3,3,3,3,1,1,1,2,2,1,1,3
271,20,1,4,2,2,2,2,1,1,4,1,1,1,3,5,2,5,4,5,1,1,4,5,1,5,3,2,1,1,4
272,19,2,3,1,3,2,3,4,3,3,2,1,1,1,2,2,2,2,1,1,1,3,5,1,5,1,4,2,1,3
273,82,2,2,4,2,4,5,4,5,4,2,1,2,1,1,3,1,1,3,3,3,3,4,1,4,1,3,1,1,3
275,21,1,5,1,5,2,3,1,1,2,1,3,1,3,1,2,1,2,3,4,3,3,4,1,4,1,3,2,1,2
276,21,2,3,3,3,2,5,4,5,4,1,2,1,2,4,2,4,2,3,4,3,4,5,1,1,2,1,2,1,4
278,59,2,2,4,2,3,5,4,5,4,2,4,2,3,4,1,5,2,2,1,1,2,3,1,1,2,3,1,1,1
279,20,1,5,2,5,2,5,3,5,1,3,1,2,1,4,2,4,2,3,1,1,2,5,1,1,1,3,1,1,1
280,60,2,3,2,4,1,2,1,1,4,5,1,2,4,4,3,4,2,1,2,1,4,5,2,5,1,4,1,1,4
281,58,1,4,3,4,4,5,1,5,2,2,3,2,2,4,2,4,2,1,3,1,4,4,2,1,1,3,2,1,2
282,21,1,5,1,4,1,5,4,5,4,2,4,2,4,4,2,4,1,5,2,1,1,5,1,1,1,3,1,1,1
284,20,2,5,4,5,4,5,4,5,4,2,4,2,4,1,4,1,3,3,4,3,4,5,2,5,2,4,3,1,3
286,21,2,5,2,5,2,5,2,1,2,1,1,2,1,4,2,4,2,1,1,1,2,5,2,5,2,3,1,1,2
287,55,2,4,4,4,4,2,1,1,4,1,4,1,4,1,4,1,4,1,1,1,4,5,1,5,1,5,4,5,4
288,18,2,4,3,4,3,1,2,1,4,2,4,2,4,4,3,4,3,3,4,3,4,2,1,1,1,2,3,1,4
289,18,AO05,1,4,1,3,2,1,2,1,1,1,1,2,5,1,5,4,3,4,3,4,5,1,5,1,2,4,2,4
291,60,2,3,3,3,3,5,4,5,4,2,4,3,4,4,3,4,2,4,2,4,2,2,1,1,1,4,1,1,3
292,54,1,2,1,3,3,2,2,1,1,1,1,1,3,2,2,2,2,4,4,1,1,1,2,1,1,1,2,1,4
293,60,2,5,4,5,4,2,4,5,1,1,3,1,3,1,4,1,1,5,4,5,4,5,3,4,1,3,4,3,1
295,24,2,4,3,4,4,5,3,5,4,3,1,3,4,5,4,5,4,3,4,3,4,3,1,3,4,1,2,1,4
297,22,1,4,2,4,3,3,3,1,3,5,2,2,2,1,3,5,3,1,2,1,4,3,2,1,1,2,2,1,3
298,18,2,2,1,2,1,4,1,4,1,1,1,1,1,5,3,5,3,3,4,3,4,1,1,1,1,5,1,1,1
299,52,1,4,2,4,2,5,4,5,4,2,4,2,4,5,3,5,3,2,1,1,1,5,1,5,1,4,1,1,1
301,74,1,4,2,4,3,1,1,1,2,3,1,3,2,5,3,5,3,4,2,1,2,4,1,1,1,3,1,1,2
302,16,2,4,3,4,3,5,3,5,2,2,3,2,3,5,3,5,3,3,3,3,3,2,1,1,2,2,2,1,2
